Country,Demographics Question,Demographics Response,Question,Survey Year,Value
29,Employment,Employed for cash,... if she refuses to have sex with him,2009,3.2
29,Employment,Employed for kind,... if she refuses to have sex with him,2009,13.9
29,Employment,Unemployed,... if she refuses to have sex with him,2009,4.8
30,Employment,Employed for cash,... if she burns the food,2016,3.2
30,Employment,Unemployed,... if she burns the food,2016,4.9
30,Employment,Employed for kind,... if she burns the food,2016,6.0
30,Employment,Employed for cash,... for at least one specific reason,2016,15.5
30,Employment,Employed for kind,... for at least one specific reason,2016,16.4
30,Employment,Unemployed,... for at least one specific reason,2016,17.9
30,Employment,Employed for cash,... if she argues with him,2016,2.4
30,Employment,Employed for kind,... if she argues with him,2016,3.9
30,Employment,Unemployed,... if she argues with him,2016,2.6
30,Employment,Employed for cash,... if she goes out without telling him,2016,11.0
30,Employment,Employed for kind,... if she goes out without telling him,2016,8.2
30,Employment,Unemployed,... if she goes out without telling him,2016,11.4
30,Employment,Employed for cash,... if she neglects the children,2016,9.2
30,Employment,Employed for kind,... if she neglects the children,2016,8.6
30,Employment,Unemployed,... if she neglects the children,2016,11.3
30,Employment,Employed for cash,... if she refuses to have sex with him,2016,4.6
30,Employment,Employed for kind,... if she refuses to have sex with him,2016,6.3
30,Employment,Unemployed,... if she refuses to have sex with him,2016,4.9
31,Employment,Employed for cash,... if she burns the food,2011,3.6
31,Employment,Unemployed,... if she burns the food,2011,4.8
31,Employment,Employed for kind,... if she burns the food,2011,6.3
31,Employment,Employed for cash,... for at least one specific reason,2011,11.2
31,Employment,Employed for kind,... for at least one specific reason,2011,17.8
31,Employment,Unemployed,... for at least one specific reason,2011,13.1
31,Employment,Employed for cash,... if she argues with him,2011,4.0
31,Employment,Employed for kind,... if she argues with him,2011,7.3
31,Employment,Unemployed,... if she argues with him,2011,5.5
31,Employment,Employed for cash,... if she goes out without telling him,2011,3.7
31,Employment,Employed for kind,... if she goes out without telling him,2011,6.9
31,Employment,Unemployed,... if she goes out without telling him,2011,4.7
31,Employment,Employed for cash,... if she neglects the children,2011,8.7
31,Employment,Employed for kind,... if she neglects the children,2011,14.1
31,Employment,Unemployed,... if she neglects the children,2011,9.8
31,Employment,Employed for cash,... if she refuses to have sex with him,2011,2.1
31,Employment,Employed for kind,... if she refuses to have sex with him,2011,3.8
31,Employment,Unemployed,... if she refuses to have sex with him,2011,2.5
32,Employment,Unemployed,... if she burns the food,2015,17.8
32,Employment,Employed for cash,... if she burns the food,2015,21.4
32,Employment,Employed for kind,... if she burns the food,2015,25.8
32,Employment,Employed for cash,... for at least one specific reason,2015,50.9
32,Employment,Employed for kind,... for at least one specific reason,2015,52.4
32,Employment,Unemployed,... for at least one specific reason,2015,41.8
32,Employment,Employed for cash,... if she argues with him,2015,33.6
32,Employment,Employed for kind,... if she argues with him,2015,36.6
32,Employment,Unemployed,... if she argues with him,2015,26.9
32,Employment,Employed for cash,... if she goes out without telling him,2015,30.6
32,Employment,Employed for kind,... if she goes out without telling him,2015,31.9
32,Employment,Unemployed,... if she goes out without telling him,2015,24.1
32,Employment,Employed for cash,... if she neglects the children,2015,38.7
32,Employment,Employed for kind,... if she neglects the children,2015,37.3
32,Employment,Unemployed,... if she neglects the children,2015,30.3
32,Employment,Employed for cash,... if she refuses to have sex with him,2015,15.2
32,Employment,Employed for kind,... if she refuses to have sex with him,2015,17.8
32,Employment,Unemployed,... if she refuses to have sex with him,2015,12.3
33,Employment,Employed for cash,... if she burns the food,2012,2.2
33,Employment,Unemployed,... if she burns the food,2012,2.4
33,Employment,Employed for kind,... if she burns the food,2012,4.0
33,Employment,Employed for cash,... for at least one specific reason,2012,31.9
33,Employment,Employed for kind,... for at least one specific reason,2012,37.8
33,Employment,Unemployed,... for at least one specific reason,2012,36.3
33,Employment,Employed for cash,... if she argues with him,2012,4.8
33,Employment,Employed for kind,... if she argues with him,2012,8.4
33,Employment,Unemployed,... if she argues with him,2012,5.7
33,Employment,Employed for cash,... if she goes out without telling him,2012,22.2
33,Employment,Employed for kind,... if she goes out without telling him,2012,28.2
33,Employment,Unemployed,... if she goes out without telling him,2012,24.7
33,Employment,Employed for cash,... if she neglects the children,2012,25.2
33,Employment,Employed for kind,... if she neglects the children,2012,29.5
33,Employment,Unemployed,... if she neglects the children,2012,28.9
33,Employment,Employed for cash,... if she refuses to have sex with him,2012,8.5
33,Employment,Employed for kind,... if she refuses to have sex with him,2012,11.0
33,Employment,Unemployed,... if she refuses to have sex with him,2012,8.7
34,Employment,Employed for cash,... if she burns the food,2017,20.75
34,Employment,Employed for kind,... if she burns the food,2017,2.1
34,Employment,Unemployed,... if she burns the food,2017,2.4
34,Employment,Employed for cash,... for at least one specific reason,2017,20.75
34,Employment,Employed for kind,... for at least one specific reason,2017,10.5
34,Employment,Unemployed,... for at least one specific reason,2017,14.7
34,Employment,Employed for cash,... if she argues with him,2017,20.75
34,Employment,Employed for kind,... if she argues with him,2017,4.8
34,Employment,Unemployed,... if she argues with him,2017,6.1
34,Employment,Employed for cash,... if she goes out without telling him,2017,20.75
34,Employment,Employed for kind,... if she goes out without telling him,2017,4.4
34,Employment,Unemployed,... if she goes out without telling him,2017,7.6
34,Employment,Employed for cash,... if she neglects the children,2017,20.75
34,Employment,Employed for kind,... if she neglects the children,2017,4.6
34,Employment,Unemployed,... if she neglects the children,2017,7.1
34,Employment,Employed for cash,... if she refuses to have sex with him,2017,20.75
34,Employment,Employed for kind,... if she refuses to have sex with him,2017,20.75
34,Employment,Unemployed,... if she refuses to have sex with him,2017,20.75
35,Employment,Employed for cash,... for at least one specific reason,2014,38.6
35,Employment,Employed for kind,... for at least one specific reason,2014,53.7
35,Employment,Unemployed,... for at least one specific reason,2014,42.0
35,Employment,Employed for cash,... if she argues with him,2014,18.4
35,Employment,Employed for kind,... if she argues with him,2014,30.8
35,Employment,Unemployed,... if she argues with him,2014,21.0
35,Employment,Employed for cash,... if she burns the food,2014,5.9
35,Employment,Employed for kind,... if she burns the food,2014,10.1
35,Employment,Unemployed,... if she burns the food,2014,7.6
35,Employment,Employed for cash,... if she goes out without telling him,2014,20.0
35,Employment,Employed for kind,... if she goes out without telling him,2014,28.0
35,Employment,Unemployed,... if she goes out without telling him,2014,22.0
35,Employment,Employed for cash,... if she neglects the children,2014,30.5
35,Employment,Employed for kind,... if she neglects the children,2014,42.7
35,Employment,Unemployed,... if she neglects the children,2014,33.9
35,Employment,Employed for cash,... if she refuses to have sex with him,2014,13.8
35,Employment,Employed for kind,... if she refuses to have sex with him,2014,22.6
35,Employment,Unemployed,... if she refuses to have sex with him,2014,14.1
36,Employment,Employed for cash,... for at least one specific reason,2012,26.3
36,Employment,Employed for kind,... for at least one specific reason,2012,40.9
36,Employment,Unemployed,... for at least one specific reason,2012,36.5
36,Employment,Employed for cash,... if she argues with him,2012,12.4
36,Employment,Employed for kind,... if she argues with him,2012,17.9
36,Employment,Unemployed,... if she argues with him,2012,18.5
36,Employment,Employed for cash,... if she burns the food,2012,4.5
36,Employment,Employed for kind,... if she burns the food,2012,6.4
36,Employment,Unemployed,... if she burns the food,2012,7.0
36,Employment,Employed for cash,... if she goes out without telling him,2012,16.6
36,Employment,Employed for kind,... if she goes out without telling him,2012,26.5
36,Employment,Unemployed,... if she goes out without telling him,2012,25.7
36,Employment,Employed for cash,... if she neglects the children,2012,20.3
36,Employment,Employed for kind,... if she neglects the children,2012,31.1
36,Employment,Unemployed,... if she neglects the children,2012,27.6
36,Employment,Employed for cash,... if she refuses to have sex with him,2012,5.7
36,Employment,Employed for kind,... if she refuses to have sex with him,2012,6.3
36,Employment,Unemployed,... if she refuses to have sex with him,2012,8.0
37,Employment,Employed for cash,... for at least one specific reason,2014,25.1
37,Employment,Employed for kind,... for at least one specific reason,2014,39.2
37,Employment,Unemployed,... for at least one specific reason,2014,38.6
37,Employment,Employed for cash,... if she argues with him,2014,17.7
37,Employment,Employed for kind,... if she argues with him,2014,28.6
37,Employment,Unemployed,... if she argues with him,2014,29.1
37,Employment,Employed for cash,... if she burns the food,2014,3.9
37,Employment,Employed for kind,... if she burns the food,2014,8.8
37,Employment,Unemployed,... if she burns the food,2014,7.8
37,Employment,Employed for cash,... if she goes out without telling him,2014,7.0
37,Employment,Employed for kind,... if she goes out without telling him,2014,11.5
37,Employment,Unemployed,... if she goes out without telling him,2014,13.4
37,Employment,Employed for cash,... if she neglects the children,2014,16.1
37,Employment,Employed for kind,... if she neglects the children,2014,28.0
37,Employment,Unemployed,... if she neglects the children,2014,25.6
37,Employment,Employed for cash,... if she refuses to have sex with him,2014,6.0
37,Employment,Employed for kind,... if she refuses to have sex with him,2014,10.3
37,Employment,Unemployed,... if she refuses to have sex with him,2014,11.8
38,Employment,Employed for cash,... for at least one specific reason,2013,39.7
38,Employment,Employed for kind,... for at least one specific reason,2013,46.4
38,Employment,Unemployed,... for at least one specific reason,2013,43.4
38,Employment,Employed for cash,... if she argues with him,2013,31.1
38,Employment,Employed for kind,... if she argues with him,2013,34.6
38,Employment,Unemployed,... if she argues with him,2013,34.3
38,Employment,Employed for cash,... if she burns the food,2013,6.8
38,Employment,Employed for kind,... if she burns the food,2013,7.4
38,Employment,Unemployed,... if she burns the food,2013,8.0
38,Employment,Employed for cash,... if she goes out without telling him,2013,28.2
38,Employment,Employed for kind,... if she goes out without telling him,2013,26.4
38,Employment,Unemployed,... if she goes out without telling him,2013,29.6
38,Employment,Employed for cash,... if she neglects the children,2013,31.3
38,Employment,Employed for kind,... if she neglects the children,2013,31.9
38,Employment,Unemployed,... if she neglects the children,2013,33.3
38,Employment,Employed for cash,... if she refuses to have sex with him,2013,9.9
38,Employment,Employed for kind,... if she refuses to have sex with him,2013,8.8
38,Employment,Unemployed,... if she refuses to have sex with him,2013,12.3
39,Employment,Employed for cash,... for at least one specific reason,2008,29.5
39,Employment,Employed for kind,... for at least one specific reason,2008,35.9
39,Employment,Unemployed,... for at least one specific reason,2008,33.0
39,Employment,Employed for cash,... if she argues with him,2008,5.7
39,Employment,Employed for kind,... if she argues with him,2008,7.0
39,Employment,Unemployed,... if she argues with him,2008,4.7
39,Employment,Employed for cash,... if she burns the food,2008,6.6
39,Employment,Employed for kind,... if she burns the food,2008,8.4
39,Employment,Unemployed,... if she burns the food,2008,6.8
39,Employment,Employed for cash,... if she goes out without telling him,2008,17.3
39,Employment,Employed for kind,... if she goes out without telling him,2008,22.5
39,Employment,Unemployed,... if she goes out without telling him,2008,17.9
39,Employment,Employed for cash,... if she neglects the children,2008,25.8
39,Employment,Employed for kind,... if she neglects the children,2008,31.2
39,Employment,Unemployed,... if she neglects the children,2008,28.8
39,Employment,Employed for cash,... if she refuses to have sex with him,2008,8.5
39,Employment,Employed for kind,... if she refuses to have sex with him,2008,11.2
39,Employment,Unemployed,... if she refuses to have sex with him,2008,6.9
40,Employment,Employed for cash,... for at least one specific reason,2015,15.7
40,Employment,Employed for kind,... for at least one specific reason,2015,16.5
40,Employment,Unemployed,... for at least one specific reason,2015,16.6
40,Employment,Employed for cash,... if she argues with him,2015,6.3
40,Employment,Employed for kind,... if she argues with him,2015,6.7
40,Employment,Unemployed,... if she argues with him,2015,7.0
40,Employment,Employed for cash,... if she burns the food,2015,5.2
40,Employment,Employed for kind,... if she burns the food,2015,5.4
40,Employment,Unemployed,... if she burns the food,2015,6.0
40,Employment,Employed for cash,... if she goes out without telling him,2015,6.2
40,Employment,Employed for kind,... if she goes out without telling him,2015,6.7
40,Employment,Unemployed,... if she goes out without telling him,2015,7.6
40,Employment,Employed for cash,... if she neglects the children,2015,8.9
40,Employment,Employed for kind,... if she neglects the children,2015,8.7
40,Employment,Unemployed,... if she neglects the children,2015,8.8
40,Employment,Employed for cash,... if she refuses to have sex with him,2015,8.4
40,Employment,Employed for kind,... if she refuses to have sex with him,2015,8.6
40,Employment,Unemployed,... if she refuses to have sex with him,2015,8.0
41,Employment,Employed for cash,... for at least one specific reason,2016,23.2
41,Employment,Employed for kind,... for at least one specific reason,2016,27.6
41,Employment,Unemployed,... for at least one specific reason,2016,20.8
41,Employment,Employed for cash,... if she argues with him,2016,20.75
41,Employment,Employed for kind,... if she argues with him,2016,20.75
41,Employment,Unemployed,... if she argues with him,2016,20.75
41,Employment,Employed for cash,... if she burns the food,2016,20.75
41,Employment,Employed for kind,... if she burns the food,2016,20.75
41,Employment,Unemployed,... if she burns the food,2016,20.75
41,Employment,Employed for cash,... if she goes out without telling him,2016,4.5
41,Employment,Employed for kind,... if she goes out without telling him,2016,5.1
41,Employment,Unemployed,... if she goes out without telling him,2016,4.7
41,Employment,Employed for cash,... if she neglects the children,2016,17.3
41,Employment,Employed for kind,... if she neglects the children,2016,14.3
41,Employment,Unemployed,... if she neglects the children,2016,14.8
41,Employment,Employed for cash,... if she refuses to have sex with him,2016,10.2
41,Employment,Employed for kind,... if she refuses to have sex with him,2016,16.7
41,Employment,Unemployed,... if she refuses to have sex with him,2016,9.9
42,Employment,Employed for cash,... for at least one specific reason,2018,81.5
42,Employment,Employed for kind,... for at least one specific reason,2018,83.3
42,Employment,Unemployed,... for at least one specific reason,2018,75.8
42,Employment,Employed for cash,... if she argues with him,2018,69.6
42,Employment,Employed for kind,... if she argues with him,2018,70.5
42,Employment,Unemployed,... if she argues with him,2018,66.6
42,Employment,Employed for cash,... if she burns the food,2018,22.0
42,Employment,Employed for kind,... if she burns the food,2018,31.6
42,Employment,Unemployed,... if she burns the food,2018,19.6
42,Employment,Employed for cash,... if she goes out without telling him,2018,54.5
42,Employment,Employed for kind,... if she goes out without telling him,2018,60.7
42,Employment,Unemployed,... if she goes out without telling him,2018,50.3
42,Employment,Employed for cash,... if she neglects the children,2018,52.4
42,Employment,Employed for kind,... if she neglects the children,2018,57.3
42,Employment,Unemployed,... if she neglects the children,2018,48.8
42,Employment,Employed for cash,... if she refuses to have sex with him,2018,64.9
42,Employment,Employed for kind,... if she refuses to have sex with him,2018,66.7
42,Employment,Unemployed,... if she refuses to have sex with him,2018,59.3
43,Employment,Employed for cash,... for at least one specific reason,2005,18.0
43,Employment,Employed for kind,... for at least one specific reason,2005,28.7
43,Employment,Unemployed,... for at least one specific reason,2005,22.7
43,Employment,Employed for cash,... if she argues with him,2005,4.3
43,Employment,Employed for kind,... if she argues with him,2005,7.4
43,Employment,Unemployed,... if she argues with him,2005,5.6
43,Employment,Employed for cash,... if she burns the food,2005,3.8
43,Employment,Employed for kind,... if she burns the food,2005,6.1
43,Employment,Unemployed,... if she burns the food,2005,4.5
43,Employment,Employed for cash,... if she goes out without telling him,2005,5.9
43,Employment,Employed for kind,... if she goes out without telling him,2005,11.9
43,Employment,Unemployed,... if she goes out without telling him,2005,8.2
43,Employment,Employed for cash,... if she neglects the children,2005,15.1
43,Employment,Employed for kind,... if she neglects the children,2005,25.1
43,Employment,Unemployed,... if she neglects the children,2005,20.0
43,Employment,Employed for cash,... if she refuses to have sex with him,2005,2.6
43,Employment,Employed for kind,... if she refuses to have sex with him,2005,5.8
43,Employment,Unemployed,... if she refuses to have sex with him,2005,3.0
44,Employment,Employed for cash,... for at least one specific reason,2003,50.3
44,Employment,Employed for kind,... for at least one specific reason,2003,86.1
44,Employment,Unemployed,... for at least one specific reason,2003,65.5
44,Employment,Employed for cash,... if she argues with him,2003,37.0
44,Employment,Employed for kind,... if she argues with him,2003,76.5
44,Employment,Unemployed,... if she argues with him,2003,52.2
44,Employment,Employed for cash,... if she burns the food,2003,16.0
44,Employment,Employed for kind,... if she burns the food,2003,46.4
44,Employment,Unemployed,... if she burns the food,2003,24.0
44,Employment,Employed for cash,... if she goes out without telling him,2003,33.7
44,Employment,Employed for kind,... if she goes out without telling him,2003,77.0
44,Employment,Unemployed,... if she goes out without telling him,2003,51.3
44,Employment,Employed for cash,... if she neglects the children,2003,35.7
44,Employment,Employed for kind,... if she neglects the children,2003,75.6
44,Employment,Unemployed,... if she neglects the children,2003,50.8
44,Employment,Employed for cash,... if she refuses to have sex with him,2003,32.6
44,Employment,Employed for kind,... if she refuses to have sex with him,2003,68.7
44,Employment,Unemployed,... if she refuses to have sex with him,2003,43.5
45,Employment,Employed for cash,... for at least one specific reason,2015,15.3
45,Employment,Employed for kind,... for at least one specific reason,2015,16.2
45,Employment,Unemployed,... for at least one specific reason,2015,11.3
45,Employment,Employed for cash,... if she argues with him,2015,8.2
45,Employment,Employed for kind,... if she argues with him,2015,6.0
45,Employment,Unemployed,... if she argues with him,2015,5.9
45,Employment,Employed for cash,... if she burns the food,2015,2.2
45,Employment,Employed for kind,... if she burns the food,2015,3.6
45,Employment,Unemployed,... if she burns the food,2015,2.1
45,Employment,Employed for cash,... if she goes out without telling him,2015,10.3
45,Employment,Employed for kind,... if she goes out without telling him,2015,10.1
45,Employment,Unemployed,... if she goes out without telling him,2015,5.2
45,Employment,Employed for cash,... if she neglects the children,2015,5.1
45,Employment,Employed for kind,... if she neglects the children,2015,5.8
45,Employment,Unemployed,... if she neglects the children,2015,3.3
45,Employment,Employed for cash,... if she refuses to have sex with him,2015,5.3
45,Employment,Employed for kind,... if she refuses to have sex with him,2015,7.2
45,Employment,Unemployed,... if she refuses to have sex with him,2015,4.8
46,Employment,Employed for cash,... for at least one specific reason,2015,52.1
46,Employment,Employed for kind,... for at least one specific reason,2015,57.1
46,Employment,Unemployed,... for at least one specific reason,2015,47.7
46,Employment,Employed for cash,... if she argues with him,2015,10.1
46,Employment,Employed for kind,... if she argues with him,2015,12.7
46,Employment,Unemployed,... if she argues with him,2015,9.6
46,Employment,Employed for cash,... if she burns the food,2015,13.2
46,Employment,Employed for kind,... if she burns the food,2015,15.4
46,Employment,Unemployed,... if she burns the food,2015,11.1
46,Employment,Employed for cash,... if she goes out without telling him,2015,22.5
46,Employment,Employed for kind,... if she goes out without telling him,2015,24.7
46,Employment,Unemployed,... if she goes out without telling him,2015,18.7
46,Employment,Employed for cash,... if she neglects the children,2015,42.9
46,Employment,Employed for kind,... if she neglects the children,2015,45.0
46,Employment,Unemployed,... if she neglects the children,2015,39.4
46,Employment,Employed for cash,... if she refuses to have sex with him,2015,10.3
46,Employment,Employed for kind,... if she refuses to have sex with him,2015,12.1
46,Employment,Unemployed,... if she refuses to have sex with him,2015,10.2
47,Employment,Employed for cash,... for at least one specific reason,2013,23.5
47,Employment,Employed for kind,... for at least one specific reason,2013,38.5
47,Employment,Unemployed,... for at least one specific reason,2013,31.2
47,Employment,Employed for cash,... if she argues with him,2013,8.1
47,Employment,Employed for kind,... if she argues with him,2013,14.2
47,Employment,Unemployed,... if she argues with him,2013,14.0
47,Employment,Employed for cash,... if she burns the food,2013,6.5
47,Employment,Employed for kind,... if she burns the food,2013,18.9
47,Employment,Unemployed,... if she burns the food,2013,12.1
47,Employment,Employed for cash,... if she goes out without telling him,2013,9.9
47,Employment,Employed for kind,... if she goes out without telling him,2013,17.8
47,Employment,Unemployed,... if she goes out without telling him,2013,15.0
47,Employment,Employed for cash,... if she neglects the children,2013,17.1
47,Employment,Employed for kind,... if she neglects the children,2013,28.1
47,Employment,Unemployed,... if she neglects the children,2013,21.5
47,Employment,Employed for cash,... if she refuses to have sex with him,2013,5.9
47,Employment,Employed for kind,... if she refuses to have sex with him,2013,13.3
47,Employment,Unemployed,... if she refuses to have sex with him,2013,8.9
48,Employment,Employed for cash,... for at least one specific reason,2016,28.4
48,Employment,Employed for kind,... for at least one specific reason,2016,27.8
48,Employment,Unemployed,... for at least one specific reason,2016,29.6
48,Employment,Employed for cash,... if she argues with him,2016,8.3
48,Employment,Employed for kind,... if she argues with him,2016,7.7
48,Employment,Unemployed,... if she argues with him,2016,10.6
48,Employment,Employed for cash,... if she burns the food,2016,3.8
48,Employment,Employed for kind,... if she burns the food,2016,2.7
48,Employment,Unemployed,... if she burns the food,2016,3.8
48,Employment,Employed for cash,... if she goes out without telling him,2016,11.9
48,Employment,Employed for kind,... if she goes out without telling him,2016,10.9
48,Employment,Unemployed,... if she goes out without telling him,2016,12.4
48,Employment,Employed for cash,... if she neglects the children,2016,24.3
48,Employment,Employed for kind,... if she neglects the children,2016,24.0
48,Employment,Unemployed,... if she neglects the children,2016,25.0
48,Employment,Employed for cash,... if she refuses to have sex with him,2016,3.1
48,Employment,Employed for kind,... if she refuses to have sex with him,2016,2.8
48,Employment,Unemployed,... if she refuses to have sex with him,2016,3.2
49,Employment,Employed for cash,... for at least one specific reason,2001,12.5
49,Employment,Employed for kind,... for at least one specific reason,2001,13.9
49,Employment,Unemployed,... for at least one specific reason,2001,12.5
49,Employment,Employed for cash,... if she argues with him,2001,3.5
49,Employment,Employed for kind,... if she argues with him,2001,6.4
49,Employment,Unemployed,... if she argues with him,2001,4.9
49,Employment,Employed for cash,... if she burns the food,2001,3.5
49,Employment,Employed for kind,... if she burns the food,2001,4.9
49,Employment,Unemployed,... if she burns the food,2001,5.3
49,Employment,Employed for cash,... if she goes out without telling him,2001,4.5
49,Employment,Employed for kind,... if she goes out without telling him,2001,6.2
49,Employment,Unemployed,... if she goes out without telling him,2001,6.8
49,Employment,Employed for cash,... if she neglects the children,2001,9.8
49,Employment,Employed for kind,... if she neglects the children,2001,10.1
49,Employment,Unemployed,... if she neglects the children,2001,9.1
49,Employment,Employed for cash,... if she refuses to have sex with him,2001,2.3
49,Employment,Employed for kind,... if she refuses to have sex with him,2001,3.6
49,Employment,Unemployed,... if she refuses to have sex with him,2001,3.2
50,Employment,Employed for cash,... for at least one specific reason,2012,62.0
50,Employment,Employed for kind,... for at least one specific reason,2012,62.7
50,Employment,Unemployed,... for at least one specific reason,2012,58.6
50,Employment,Employed for cash,... if she argues with him,2012,51.9
50,Employment,Employed for kind,... if she argues with him,2012,55.2
50,Employment,Unemployed,... if she argues with him,2012,49.6
50,Employment,Employed for cash,... if she burns the food,2012,34.4
50,Employment,Employed for kind,... if she burns the food,2012,43.5
50,Employment,Unemployed,... if she burns the food,2012,34.3
50,Employment,Employed for cash,... if she goes out without telling him,2012,42.0
50,Employment,Employed for kind,... if she goes out without telling him,2012,46.8
50,Employment,Unemployed,... if she goes out without telling him,2012,42.8
50,Employment,Employed for cash,... if she neglects the children,2012,41.7
50,Employment,Employed for kind,... if she neglects the children,2012,48.3
50,Employment,Unemployed,... if she neglects the children,2012,41.8
50,Employment,Employed for cash,... if she refuses to have sex with him,2012,53.0
50,Employment,Employed for kind,... if she refuses to have sex with him,2012,51.7
50,Employment,Unemployed,... if she refuses to have sex with him,2012,48.9
51,Employment,Employed for cash,... for at least one specific reason,2013,33.6
51,Employment,Employed for kind,... for at least one specific reason,2013,50.2
51,Employment,Unemployed,... for at least one specific reason,2013,34.2
51,Employment,Employed for cash,... if she argues with him,2013,20.8
51,Employment,Employed for kind,... if she argues with him,2013,33.8
51,Employment,Unemployed,... if she argues with him,2013,20.2
51,Employment,Employed for cash,... if she burns the food,2013,13.7
51,Employment,Employed for kind,... if she burns the food,2013,20.8
51,Employment,Unemployed,... if she burns the food,2013,13.9
51,Employment,Employed for cash,... if she goes out without telling him,2013,24.2
51,Employment,Employed for kind,... if she goes out without telling him,2013,35.5
51,Employment,Unemployed,... if she goes out without telling him,2013,25.4
51,Employment,Employed for cash,... if she neglects the children,2013,24.2
51,Employment,Employed for kind,... if she neglects the children,2013,37.0
51,Employment,Unemployed,... if she neglects the children,2013,23.3
51,Employment,Employed for cash,... if she refuses to have sex with him,2013,18.2
51,Employment,Employed for kind,... if she refuses to have sex with him,2013,24.3
51,Employment,Unemployed,... if she refuses to have sex with him,2013,18.9
52,Employment,Employed for cash,... for at least one specific reason,2017,45.4
52,Employment,Employed for kind,... for at least one specific reason,2017,62.6
52,Employment,Unemployed,... for at least one specific reason,2017,39.4
52,Employment,Employed for cash,... if she argues with him,2017,34.1
52,Employment,Employed for kind,... if she argues with him,2017,51.0
52,Employment,Unemployed,... if she argues with him,2017,30.3
52,Employment,Employed for cash,... if she burns the food,2017,22.8
52,Employment,Employed for kind,... if she burns the food,2017,29.9
52,Employment,Unemployed,... if she burns the food,2017,17.0
52,Employment,Employed for cash,... if she goes out without telling him,2017,33.3
52,Employment,Employed for kind,... if she goes out without telling him,2017,45.3
52,Employment,Unemployed,... if she goes out without telling him,2017,30.6
52,Employment,Employed for cash,... if she neglects the children,2017,32.9
52,Employment,Employed for kind,... if she neglects the children,2017,43.5
52,Employment,Unemployed,... if she neglects the children,2017,26.1
52,Employment,Employed for cash,... if she refuses to have sex with him,2017,30.6
52,Employment,Employed for kind,... if she refuses to have sex with him,2017,45.0
52,Employment,Unemployed,... if she refuses to have sex with him,2017,26.0
53,Employment,Employed for cash,... for at least one specific reason,2012,3.2
53,Employment,Employed for kind,... for at least one specific reason,2012,6.9
53,Employment,Unemployed,... for at least one specific reason,2012,2.8
53,Employment,Employed for cash,... if she argues with him,2012,0.7
53,Employment,Employed for kind,... if she argues with him,2012,2.1
53,Employment,Unemployed,... if she argues with him,2012,0.6
53,Employment,Employed for cash,... if she burns the food,2012,0.9
53,Employment,Employed for kind,... if she burns the food,2012,2.2
53,Employment,Unemployed,... if she burns the food,2012,0.9
53,Employment,Employed for cash,... if she goes out without telling him,2012,1.0
53,Employment,Employed for kind,... if she goes out without telling him,2012,2.1
53,Employment,Unemployed,... if she goes out without telling him,2012,0.9
53,Employment,Employed for cash,... if she neglects the children,2012,2.1
53,Employment,Employed for kind,... if she neglects the children,2012,4.4
53,Employment,Unemployed,... if she neglects the children,2012,1.7
53,Employment,Employed for cash,... if she refuses to have sex with him,2012,0.6
53,Employment,Employed for kind,... if she refuses to have sex with him,2012,1.1
53,Employment,Unemployed,... if she refuses to have sex with him,2012,0.6
54,Employment,Employed for cash,... for at least one specific reason,2017,9.4
54,Employment,Employed for kind,... for at least one specific reason,2017,15.0
54,Employment,Unemployed,... for at least one specific reason,2017,11.4
54,Employment,Employed for cash,... if she argues with him,2017,2.0
54,Employment,Employed for kind,... if she argues with him,2017,2.9
54,Employment,Unemployed,... if she argues with him,2017,2.2
54,Employment,Employed for cash,... if she burns the food,2017,1.1
54,Employment,Employed for kind,... if she burns the food,2017,1.8
54,Employment,Unemployed,... if she burns the food,2017,1.5
54,Employment,Employed for cash,... if she goes out without telling him,2017,2.5
54,Employment,Employed for kind,... if she goes out without telling him,2017,5.3
54,Employment,Unemployed,... if she goes out without telling him,2017,3.8
54,Employment,Employed for cash,... if she neglects the children,2017,7.1
54,Employment,Employed for kind,... if she neglects the children,2017,11.4
54,Employment,Unemployed,... if she neglects the children,2017,9.4
54,Employment,Employed for cash,... if she refuses to have sex with him,2017,1.0
54,Employment,Employed for kind,... if she refuses to have sex with him,2017,1.6
54,Employment,Unemployed,... if she refuses to have sex with him,2017,1.6
55,Employment,Employed for cash,... for at least one specific reason,2014,40.4
55,Employment,Employed for kind,... for at least one specific reason,2014,46.1
55,Employment,Unemployed,... for at least one specific reason,2014,35.6
55,Employment,Employed for cash,... if she argues with him,2014,19.8
55,Employment,Employed for kind,... if she argues with him,2014,23.3
55,Employment,Unemployed,... if she argues with him,2014,16.9
55,Employment,Employed for cash,... if she burns the food,2014,8.5
55,Employment,Employed for kind,... if she burns the food,2014,10.7
55,Employment,Unemployed,... if she burns the food,2014,6.6
55,Employment,Employed for cash,... if she goes out without telling him,2014,21.6
55,Employment,Employed for kind,... if she goes out without telling him,2014,26.0
55,Employment,Unemployed,... if she goes out without telling him,2014,17.4
55,Employment,Employed for cash,... if she neglects the children,2014,27.7
55,Employment,Employed for kind,... if she neglects the children,2014,35.0
55,Employment,Unemployed,... if she neglects the children,2014,24.8
55,Employment,Employed for cash,... if she refuses to have sex with him,2014,24.6
55,Employment,Employed for kind,... if she refuses to have sex with him,2014,26.1
55,Employment,Unemployed,... if she refuses to have sex with him,2014,20.1
56,Employment,Employed for cash,... for at least one specific reason,2008,19.3
56,Employment,Employed for kind,... for at least one specific reason,2008,35.8
